Symbol,Name,Sector,Price,Earnings/Share
NI,NiSource Inc.,Utilities,22.51,1.02
NBL,Noble Energy Inc,Energy,25.43,-2.32
JWN,Nordstrom,Consumer Discretionary,47.23,2.02
NSC,Norfolk Southern Corp.,Industrials,136.89,18.73
NTRS,Northern Trust Corp.,Financials,96.2,4.92
NOC,Northrop Grumman Corp.,Industrials,324.01,11.47
NCLH,Norwegian Cruise Line,Consumer Discretionary,56.01,2.78
NRG,NRG Energy,Utilities,24,-2.23
NUE,Nucor Corp.,Materials,60.38,4.1
NVDA,Nvidia Corporation,Information Technology,217.52,2.57
ORLY,O'Reilly Automotive,Consumer Discretionary,252.22,10.73
OXY,Occidental Petroleum,Energy,68.47,-0.75
OMC,Omnicom Group,Consumer Discretionary,75.91,4.79
OKE,ONEOK,Energy,54.4,1.66
ORCL,Oracle Corp.,Information Technology,46.84,2.2
PCAR,PACCAR Inc.,Industrials,66.98,4.75
PKG,Packaging Corporation of America,Materials,111.95,7.07
PH,Parker-Hannifin,Industrials,174.51,7.24
PDCO,Patterson Companies,Health Care,32.88,1.79
PAYX,Paychex Inc.,Information Technology,61.86,2.26
PYPL,PayPal,Information Technology,72.32,1.47
PNR,Pentair Ltd.,Industrials,66.67,3.63
PBCT,People's United Financial,Financials,18.56,0.97
PEP,PepsiCo Inc.,Consumer Staples,110.15,4.36
PKI,PerkinElmer,Health Care,72.06,2.64
PRGO,Perrigo,Health Care,84.44,-28.01
PFE,Pfizer Inc.,Health Care,33.63,3.51
PCG,PG&E Corp.,Utilities,38.24,2.78
PM,Philip Morris International,Consumer Staples,100.39,4.48
PSX,Phillips 66,Energy,92.44,9.93
PNW,Pinnacle West Capital,Utilities,74.34,3.95
PXD,Pioneer Natural Resources,Energy,169.16,-3.39
PNC,PNC Financial Services,Financials,149.38,10.4
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,101.32,-1.19
PPG,PPG Industries,Materials,110.3,6.31
PPL,PPL Corp.,Utilities,29.52,2.79
PX,Praxair Inc.,Materials,144.07,4.32
PCLN,Priceline.com Inc,Consumer Discretionary,1806.06,42.66
PFG,Principal Financial Group,Financials,60.38,4.5
PG,Procter & Gamble,Consumer Staples,80.22,5.6
PGR,Progressive Corp.,Financials,51.07,2.73
PLD,Prologis,Real Estate,58.33,3.06
PRU,Prudential Financial,Financials,103.38,9.73
PEG,Public Serv. Enterprise Inc.,Utilities,46.73,1.75
PSA,Public Storage,Real Estate,180.49,6.81
PHM,Pulte Homes Inc.,Consumer Discretionary,28.67,1.44
PVH,PVH Corp.,Consumer Discretionary,142.68,6.77
QRVO,Qorvo,Information Technology,76.85,-0.13
QCOM,QUALCOMM Inc.,Information Technology,62.42,1.65
PWR,Quanta Services Inc.,Industrials,33.51,1.28
DGX,Quest Diagnostics,Health Care,96.42,5.5
RRC,Range Resources Corp.,Energy,12.82,-2.79
RJF,Raymond James Financial Inc.,Financials,86.06,4.12
RTN,Raytheon Co.,Industrials,198.74,6.95
O,Realty Income Corporation,Real Estate,47.56,1.12
RHT,Red Hat Inc.,Information Technology,124.65,1.68
REG,Regency Centers Corporation,Real Estate,55.58,1.43
REGN,Regeneron,Health Care,322.62,7.74
RF,Regions Financial Corp.,Financials,17.9,1
RSG,Republic Services Inc,Industrials,62.72,1.77
RMD,ResMed,Health Care,89.26,2.41
RHI,Robert Half International,Industrials,52.26,2.32
ROK,Rockwell Automation Inc.,Industrials,178.73,6.35
COL,Rockwell Collins,Industrials,133.31,4.8
ROP,Roper Technologies,Industrials,259.4,9.38
ROST,Ross Stores,Consumer Discretionary,75.06,2.83
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,122.45,7.53
SPGI,"S&P Global, Inc.",Financials,173.31,7.95
CRM,Salesforce.com,Information Technology,104.03,0.27
SBAC,SBA Communications,Real Estate,159.85,0.62
SCG,SCANA Corp,Utilities,35.6,4.16
SLB,Schlumberger Ltd.,Energy,67.4,-1.08
SNI,Scripps Networks Interactive Inc.,Consumer Discretionary,86.46,5.18
STX,Seagate Technology,Information Technology,47.44,2.58
SEE,Sealed Air,Materials,42.62,2.46
SRE,Sempra Energy,Utilities,103.36,5.45
SHW,Sherwin-Williams,Materials,387.65,18.61
SIG,Signet Jewelers,Consumer Discretionary,49.38,7.03
SPG,Simon Property Group Inc,Real Estate,152.18,6.25
SWKS,Skyworks Solutions,Information Technology,99.04,5.41
SLG,SL Green Realty,Real Estate,90.61,0.88
SNA,Snap-On Inc.,Consumer Discretionary,156.72,9.2
SO,Southern Co.,Utilities,43.4,2.53
LUV,Southwest Airlines,Industrials,55.63,5.82
SWK,Stanley Black & Decker,Consumer Discretionary,152.86,8.05
SBUX,Starbucks Corp.,Consumer Discretionary,53.77,1.97
STT,State Street Corp.,Financials,98.54,5.23
SRCL,Stericycle Inc,Industrials,70.55,2.08
SYK,Stryker Corp.,Health Care,148.01,2.68
STI,SunTrust Banks,Financials,65.8,4.48
SYMC,Symantec Corp.,Information Technology,25.59,-0.17
SYF,Synchrony Financial,Financials,34.98,2.41
SNPS,Synopsys Inc.,Information Technology,82.62,0.87
SYY,Sysco Corp.,Consumer Staples,57,2.08
TROW,T. Rowe Price Group,Financials,101.99,4.75
TPR,"Tapestry, Inc.",Consumer Discretionary,48.85,2.09
TGT,Target Corp.,Consumer Discretionary,71.11,4.71
TEL,TE Connectivity Ltd.,Information Technology,95.27,4.71
FTI,TechnipFMC,Energy,29.1,0
TXN,Texas Instruments,Information Technology,97.66,3.6
TXT,Textron Inc.,Industrials,55.54,1.14
BK,The Bank of New York Mellon Corp.,Financials,53.29,3.73
CLX,The Clorox Company,Consumer Staples,127.76,5.33
COO,The Cooper Companies,Health Care,223.17,7.52
HSY,The Hershey Company,Consumer Staples,97.65,3.66
MOS,The Mosaic Company,Materials,24.13,0.85
TRV,The Travelers Companies Inc.,Financials,135.01,7.31
DIS,The Walt Disney Company,Consumer Discretionary,101.35,5.7
TMO,Thermo Fisher Scientific,Health Care,198.73,5.6
TIF,Tiffany & Co.,Consumer Discretionary,99.62,3.55
TWX,Time Warner Inc.,Consumer Discretionary,93.02,6.62
TJX,TJX Companies Inc.,Consumer Discretionary,74.36,3.46
TMK,Torchmark Corp.,Financials,80.52,4.5
TSS,Total System Services,Information Technology,81.17,3.16
TSCO,Tractor Supply Company,Consumer Discretionary,65.94,3.3
TDG,TransDigm Group,Industrials,283,7.92
TRIP,TripAdvisor,Consumer Discretionary,40.05,0.81
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary,34.56,1.59
FOX,Twenty-First Century Fox Class B,Consumer Discretionary,34.09,1.59
TSN,Tyson Foods,Consumer Staples,73.92,4.79
USB,U.S. Bancorp,Financials,52.65,3.52
UDR,UDR Inc,Real Estate,32.92,1.08
ULTA,Ulta Salon Cosmetics & Fragrance Inc,Consumer Discretionary,209.09,6.52
UAA,Under Armour Class A,Consumer Discretionary,13.14,0.45
UA,Under Armour Class C,Consumer Discretionary,11.95,0.45
UNP,Union Pacific,Industrials,124.86,13.52
UAL,United Continental Holdings,Industrials,63.37,7.05
UNH,United Health Group Inc.,Health Care,216.46,10.71
UPS,United Parcel Service,Industrials,109.28,5.62
URI,"United Rentals, Inc.",Industrials,161.99,15.72
UTX,United Technologies,Industrials,127.48,5.7
UHS,"Universal Health Services, Inc.",Health Care,114.87,7.14
UNM,Unum Group,Financials,47.87,4.38
VFC,V.F. Corp.,Consumer Discretionary,78.75,2.55
VLO,Valero Energy,Energy,86.77,9.24
VAR,Varian Medical Systems,Health Care,112.82,2.69
VTR,Ventas Inc,Real Estate,50.92,1.86
VRSN,Verisign Inc.,Information Technology,105.62,3.43
VRSK,Verisk Analytics,Industrials,92.28,3.45
VZ,Verizon Communications,Telecommunication Services,49.04,7.36
VRTX,Vertex Pharmaceuticals Inc,Health Care,151.6,1.04
VIAB,Viacom Inc.,Consumer Discretionary,32.71,4.68
V,Visa Inc.,Information Technology,113.86,2.8
VNO,Vornado Realty Trust,Real Estate,66.18,4.33
VMC,Vulcan Materials,Materials,121.47,3.1
WMT,Wal-Mart Stores,Consumer Staples,100.02,4.39
WBA,Walgreens Boots Alliance,Consumer Staples,68.22,3.78
WM,Waste Management Inc.,Industrials,79.12,2.66
WAT,Waters Corporation,Health Care,191.79,0.19
WEC,Wec Energy Group Inc,Utilities,59.5,3.79
WFC,Wells Fargo,Financials,55.4,4.07
HCN,Welltower Inc.,Real Estate,54.67,2.81
WDC,Western Digital,Information Technology,80.09,1.29
WU,Western Union Co,Information Technology,18.81,0.51
WRK,WestRock Company,Materials,60.93,2.77
WY,Weyerhaeuser Corp.,Real Estate,33.6,0.77
WHR,Whirlpool Corp.,Consumer Discretionary,164.95,4.51
WMB,Williams Cos.,Energy,28.56,-0.57
WLTW,Willis Towers Watson,Financials,152.36,3.07
WYN,Wyndham Worldwide,Consumer Discretionary,113.56,5.53
WYNN,Wynn Resorts Ltd,Consumer Discretionary,169.28,7.27
XEL,Xcel Energy Inc,Utilities,42.44,2.21
XRX,Xerox Corp.,Information Technology,29.8,0.59
XLNX,Xilinx Inc,Information Technology,62.82,2.32
XL,XL Capital,Financials,41.26,-2.24
XYL,Xylem Inc.,Industrials,70.24,1.83
YUM,Yum! Brands Inc,Consumer Discretionary,76.3,4.07
ZBH,Zimmer Biomet Holdings,Health Care,115.53,9.01
